"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"Mary will complete her lengthy capstone project __________.","soon","0.3300","11.41","26","0.69","2.8900","199","21"
"The ugly bird had trouble finding a __________.","mate","0.5700","8.55","39","0.60","2.0700","21","26"
"During this season the adult deer usually __________.","mate","0.5600","8.55","39","0.60","2.8200","21","26"
"In hyena packs the females select a male __________.","mate","0.6200","8.55","39","0.60","2.1400","21","26"
"In the spring, many animals begin to __________.","mate","0.5700","8.55","39","0.60","2.7700","21","26"
"The toddler joined the puppy in playing __________.","fetch","0.3600","8.07","6","0.46","2.8600","6","8"
"The energetic little puppy loves to play __________.","fetch","0.5200","8.07","6","0.46","2.3800","6","8"
"Their dog Roxy actually hates to play __________.","fetch","0.6400","8.07","6","0.46","1.8800","6","8"
"His aunt would not come because his house is __________.","messy","0.3200","7.80","10","0.40","3.1900",\N,\N
"After soccer practice, Logan threw his clothes in the __________.","washer","0.4200","6.92","1","0.36","2.4400","2","2"
"The British businessman was the wealthiest in the whole __________.","country","0.3600","11.58","0","0.69","2.8600","324","0"
"Erin watered her lawn because the grass was __________.","brown","0.4600","10.65","9","0.68","1.7600","176","8"
"Always full of energy, Wilson never seemed to __________.","tire","0.5100","8.73","26","0.57","2.5800","22","22"
"Gabe went to the automobile shop to replace a __________.","tire","0.4200","8.73","26","0.57","3.3500","22","22"
"After three hours of hiking, the campers began to __________.","tire","0.6000","8.73","26","0.57","2.5800","22","22"
"He was late because he had gotten a flat __________.","tire","0.9900","8.73","26","0.57","0.0800","22","22"
"After driving over sharp glass, Ronald had a flat __________.","tire","1.0000","8.73","26","0.57","0.0000","22","22"
"Riley was unhappy that her new pants were __________.","tight","0.3800","9.87","34","0.61","3.5500","28","25"
"Due to heavy rainfall, the rainforest is very __________.","wet","0.4200","9.71","22","0.61","2.9000","53","22"
"Helen fell in the bathroom, because the floor was __________.","wet","0.4600","9.71","22","0.61","1.4800","53","22"
"Natalie covered her head to avoid getting her hair __________.","wet","0.8100","9.71","22","0.61","1.2100","53","22"
"After Chris dropped bread in the water, it became __________.","soggy","0.7800","5.94","3","0.24","1.5800","3","3"
"The basketball player enjoyed meeting the supportive __________.","fans","0.5800","10.36","15","0.66","2.0900",\N,\N
"The couple worked well together and made a perfect __________.","team","0.3300","11.60","22","0.67","2.5300","83","17"
"To start the Sumo match they struck a large __________.","gong","0.7200","6.92","13","0.56","1.6200","1","12"
"Abby stuck his picture to her wall with a __________.","tack","0.4600","7.38","29","0.38","2.3500","4","27"
"Frankie had four plants getting sunned on the __________.","porch","0.5200","7.43","10","0.56","2.5200","43","5"
"After the rain stopped, Caroline played outside in the __________.","puddles","0.5600","5.76","3","0.27","2.1200",\N,\N
"The minor damage to their car was from __________.","hail","0.6300","8.08","41","0.55","2.7200","12","26"
"His mother cautioned him about letting the bananas __________.","rot","0.3800","7.77","33","0.48","2.5900","8","26"
"Terry told Jay the old fruit had begun to __________.","rot","0.7600","7.77","33","0.48","1.5300","8","26"
"The green fuzz indicated the food had started to __________.","mold","0.6100","8.23","17","0.56","1.7600","45","14"
"The sandwich left under Henry's bed started to __________.","mold","0.3500","8.23","17","0.56","2.3700","45","14"
"Lindsay stored her homemade lemonade in a __________.","pitcher","0.3600","7.36","5","0.57","2.5300","21","1"
"It seemed like the accident shook her to the __________.","core","0.8400","9.89","31","0.67","0.7700","146","26"
"He ate every part of the fruit except the __________.","core","0.3300","9.89","31","0.67","2.4200","146","26"
"The award-winning pizza had a delicious and soft __________.","crust","0.9100","7.30","7","0.55","0.6200","1","4"
"The picky child refused to eat the sandwich's __________.","crust","0.7400","7.30","7","0.55","1.6400","1","4"
"The committed scientist spent hours working in the __________.","lab","0.8800","10.12","19","0.62","0.8200","3","18"
"Shelly wanted to be a scientist working at a __________.","lab","0.7200","10.12","19","0.62","1.6500","3","18"
"Each day, several research studies are run at the __________.","lab","0.3500","10.12","19","0.62","2.6700","3","18"
"Instead of buying a new phone, Shannon replaced the __________.","battery","0.3600","10.22","0","0.62","3.5500","18","0"
"The new accusations cast a lot of __________.","doubt","0.7400","10.79","15","0.63","1.8300","114","17"
"The confident man believed he was right without a __________.","doubt","0.4900","10.79","15","0.63","2.9400","114","17"
"They knew she was a hiker because of her __________.","boots","0.3600","9.28","16","0.58","3.6000",\N,\N
"Gaby disliked spinach, a veggie she claimed she'd always __________.","hated","0.7000","8.68","16","0.56","1.8700",\N,\N
"Dave wanted to go, but he had clothes to __________.","wash","0.7200","9.06","8","0.57","1.5800","37","4"
"After three weeks, there was a pile of dirty clothes to __________.","wash","0.9100","9.06","8","0.57","0.5900","37","4"
"The toddler covered the walls with her mother's __________.","lipstick","0.4800","6.94","1","0.41","2.8300","3","1"
"Visitors at the medieval festival drank honey __________.","mead","0.3500","7.43","31","0.55","2.8500","2","19"
"When he lived in Panama he took up drinking __________.","rum","0.3300","6.86","27","0.51","3.6700","3","23"
"A pirate's favorite alcoholic drink is aged __________.","rum","0.5700","6.86","27","0.51","2.5500","3","23"
"To enter the castle she rode across a __________.","bridge","0.4000","9.87","6","0.66","1.9500","98","4"
"The enemies stormed the castle despite the protective __________.","moat","0.3900","7.74","26","0.50","2.6400","1","23"
"The castle was defended by a massive, constructed __________.","moat","0.4800","7.74","26","0.50","2.4800","1","23"
"Malcolm wanted to tidy the lawn but had no __________.","mower","0.3300","6.11","10","0.34","2.9900",\N,\N
"Kathy asked the cashier for change for a __________.","dollar","0.4900","10.08","8","0.61","2.0200","46","6"
"When planning his party, Joe struggled to pick a __________.","theme","0.6700","9.57","10","0.66","2.3100","55","8"
"Natalie's birthday party had a Disney princess __________.","theme","0.7800","9.57","10","0.66","1.6500","55","8"
"The committee members were divided over the prom's __________.","theme","0.6200","9.57","10","0.66","2.2800","55","8"
"Lions often mark territory by using their __________.","urine","0.4600","8.14","1","0.57","2.5500","1","0"
"Her friend said the story was nothing but __________.","lies","0.5100","9.92","34","0.62","3.3400",\N,\N
"When the building came down, there was a loud __________.","crash","0.4900","9.86","11","0.64","2.3800","20","11"
"Timmy scraped his knee and went to see the __________.","doctor","0.6500","10.37","0","0.66","1.0000","100","0"
"Hannah procrastinates until right before her work is __________.","due","0.9000","11.52","30","0.69","0.6700",\N,\N
"Steve received a letter informing him the bills were __________.","due","0.4300","11.52","30","0.69","1.9200",\N,\N
"The math student finished the big project that was __________.","due","0.7100","11.52","30","0.69","1.8200",\N,\N
"The woman wasn't sure when the baby was __________.","due","0.5300","11.52","30","0.69","2.3800",\N,\N
"The teacher told the students that the homework was __________.","due","0.4400","11.52","30","0.69","3.0000",\N,\N
"Mother's beautiful ring was made of real __________.","gold","0.5300","10.88","19","0.67","2.1000","52","12"
"The pirates escaped with a large bag of __________.","gold","0.4400","10.88","19","0.67","2.3700","52","12"
"The tree growing in the backyard has a large __________.","trunk","0.4400","8.09","1","0.59","3.5300","8","2"
"The curious child wanted to touch the tree __________.","trunk","0.3800","8.09","1","0.59","2.8500","8","2"
"Colten said the suitcase felt like it weighed a __________.","ton","0.9500","9.37","30","0.57","0.3300","13","25"
"The smoothie was green because the chef added __________.","kale","0.4600","6.68","44","0.36","2.5400","1","32"
"Many health enthusiasts will make green smoothies using __________.","kale","0.5200","6.68","44","0.36","2.7300","1","32"
"Matt topped the nachos with cheddar cheese and shredded __________.","lettuce","0.3800","6.88","3","0.45","3.1800","1","2"
"To color the shirt red use vinegar and __________.","dye","0.5500","7.47","31","0.55","2.8300",\N,\N
"The doctor was alarmed by the patient's heart __________.","rate","0.3500","11.38","42","0.65","2.4500","209","29"
"The building isn't for sale but it's available to __________.","rent","0.8100","9.28","19","0.59","0.9200","21","15"
"The immature boy had grown to be a responsible __________.","adult","0.5800","10.14","1","0.66","1.1200","25","1"
"To honor her colleague's death, Kim attended his __________.","funeral","0.9000","8.08","0","0.62","0.6300","33","0"
"Her baby was not ready to leave the __________.","crib","0.3200","7.16","2","0.35","2.7700","5","2"
"Larry's motto was always do what you __________.","want","0.5000","13.14","10","0.66","2.4500","331","8"
"Brian refuses to study, but his mother says he __________.","must","0.4100","12.63","16","0.68","2.5000","1013","12"
"His mother said that boy never does what he __________.","should","0.4600","13.30","14","0.69","2.3600","888","10"
"Sara made her bed because her mom said she __________.","should","0.5100","13.30","14","0.69","2.1200","888","10"
"On weekends he often drank more than he __________.","should","0.8000","13.30","14","0.69","1.4100","888","10"
"Many people don't recycle even though they __________.","should","0.7900","13.30","14","0.69","1.3800","888","10"
"Recurring problems caused the leader to install a __________.","camera","0.3500","9.82","0","0.64","4.1200","36","0"
"The competitive students were always afraid to __________.","lose","0.6500","10.55","31","0.64","2.0200","58","14"
"While in Europe, the tourists wanted to meet the __________.","pope","0.3700","9.01","21","0.63","2.5800","40","21"
"They believe the most pious man is the __________.","pope","0.3800","9.01","21","0.63","3.8900","40","21"
"The cardinals wondered which of them would become the __________.","pope","0.5000","9.01","21","0.63","3.1800","40","21"
"Rome was crowded during the election of a new __________.","pope","0.3200","9.01","21","0.63","3.0400","40","21"
"The thief drove around looking for a house to __________.","rob","0.9100","10.00","17","0.63","0.6200","19","16"
"The store had no camera and was easy to __________.","rob","0.7300","10.00","17","0.63","1.5100","19","16"
"The unlocked house was an easy target to __________.","rob","0.7100","10.00","17","0.63","1.9200","19","16"
"They wouldn't cross because the river was too __________.","deep","0.4200","10.66","19","0.67","2.9500","109","17"
"The children spent hours at the beach making a __________.","castle","0.6200","9.36","10","0.65","1.2200","7","12"
"The musician plucked at the strings of his flat-fronted __________.","guitar","0.7000","10.12","0","0.64","1.8900","19","1"
"The loss of her fortune drove the heiress __________.","mad","0.3700","9.79","29","0.62","2.2500","39","23"
"The lawyer wanted to be elected as a district __________.","attorney","0.5200","9.59","0","0.62","2.3400","65","0"
"The tribe respected the girl because her father was __________.","chief","0.5300","9.85","12","0.67","3.2200","119","12"
"Some people enjoy drinking tonic water with ice and __________.","gin","0.4300","7.00","25","0.49","2.5400","23","19"
"The man added tonic water to his glass of __________.","gin","0.5500","7.00","25","0.49","2.3800","23","19"
"Marc claimed that the self-assembly desk instructions were too __________.","complicated","0.3800","9.30","0","0.63","2.4900",\N,\N
"The details surrounding the crime were extremely __________.","vague","0.4000","8.76","8","0.56","3.9000","25","4"
"They perceived her as simple but her writings were __________.","complex","0.5100","10.30","0","0.68","3.3600","91","0"
"After saying goodbye, Tim gave his wife a quick __________.","kiss","0.8400","9.46","14","0.61","0.8900","17","13"
"Mandy left Jake alone after she was issued the __________.","warning","0.3200","10.00","5","0.63","3.1800",\N,\N
"With the female deer was her mate, a large __________.","buck","0.7200","8.82","27","0.60","1.5600","20","26"
"The front door was hidden by an overgrown __________.","bush","0.4800","9.30","7","0.65","2.5200","14","5"
"The kids ran through the sprinklers on the front __________.","lawn","0.8900","7.89","24","0.57","0.5500","15","16"
"Troy enjoyed playing with his dog outside on the __________.","lawn","0.4300","7.89","24","0.57","3.0100","15","16"
"Linda always carried herself with such grace and __________.","poise","0.3100","5.44","13","0.29","3.5300","6","4"
"The angry chicken gave the farmer a sharp __________.","peck","0.8300","6.97","26","0.56","1.1700","5","19"
"She didn't give him a long kiss, just a __________.","peck","0.8700","6.97","26","0.56","0.8200","5","19"
"He promised everyone but they still had __________.","doubts","0.5200","8.45","5","0.56","3.0400",\N,\N
"Tim drove past numerous warning signs without __________.","stopping","0.3800","8.88","6","0.61","3.0500",\N,\N
"When Missy told on them they called her a __________.","snitch","0.3700","5.08","7","0.25","3.0600","1","6"
"Janice changed her bank password after a security __________.","breach","0.8500","7.87","8","0.57","1.0000","6","8"
"Barb pulled her sleeve back to reveal a big __________.","bruise","0.3900","6.12","13","0.31","2.3800","3","8"
"Melissa's new shoes gave her a painful __________.","blister","0.5900","6.05","1","0.36","2.6000","3","2"
"Timothy was hesitant when he had to make a __________.","decision","0.4000","10.51","2","0.67","2.8400","119","0"
"Down to two colleges, Russell still couldn't make a __________.","decision","0.7100","10.51","2","0.67","0.9900","119","0"
"The monument was the largest constructed to __________.","date","0.7300","11.82","25","0.68","2.0200","103","20"
"The boy was nervous to ask Lily for a __________.","date","0.7300","11.82","25","0.68","1.6300","103","20"
"The old couple still remember their first __________.","date","0.6300","11.82","25","0.68","1.4700","103","20"
"Yesterday at the drugstore there was a __________.","robbery","0.4400","7.68","0","0.57","2.9300","10","0"
"Finishing that whole bag of candy was quite a __________.","feat","0.5000","7.38","22","0.58","2.3900","289","19"
"Climbing the mountain would be his most impressive __________.","feat","0.7800","7.38","22","0.58","1.4400","289","19"
"Winning an Olympic medal is an impressive __________.","feat","0.7600","7.38","22","0.58","1.5500","289","19"
"Nick quit violin class because practicing felt like a __________.","chore","0.8000","6.37","29","0.26","1.5300","7","20"
"To learn responsibility, each child should have a __________.","chore","0.5100","6.37","29","0.26","2.5600","7","20"
"Meg hated that cleaning the bathroom was her __________.","chore","0.4700","6.37","29","0.26","1.7700","7","20"
"The winner was so excited that he did a __________.","flip","0.3400","8.70","9","0.56","2.7500","4","9"
"Greta quickly woke after Jess gave her a painful __________.","pinch","0.3900","7.60","7","0.47","3.2900","6","6"
"Before they're even one year old, babies usually __________.","crawl","0.3300","8.05","4","0.48","2.6900","11","7"
"Carly was known for having a loud, distinct __________.","voice","0.7400","11.31","8","0.67","1.1800","226","6"
"Instead of cupcakes she made a chocolate bread __________.","pudding","0.6400","7.13","7","0.45","2.0600","1","1"
"The gentleman on the bus offered the child his __________.","seat","0.9000","9.75","40","0.64","0.8700","54","28"
"Annoyed with his mother, Fred ignored her persistent __________.","nagging","0.5300","6.69","7","0.32","2.9300",\N,\N
"Bernard has been growing these trees for their __________.","fruit","0.3800","9.28","6","0.62","3.7600","35","6"
"They ate the bread and went to buy another __________.","loaf","0.9600","7.11","14","0.47","0.3200","4","14"
"To make sandwiches, Julia bought a fresh __________.","loaf","0.3800","7.11","14","0.47","3.0200","4","14"
"Rachel bought yarn for the sweater she wanted to __________.","knit","0.8100","7.01","30","0.37","1.1600","10","27"
"After selecting the yarn, Karen began to __________.","knit","0.8300","7.01","30","0.37","0.8900","10","27"
"Katherine took the ball of yarn and began to __________.","knit","0.6500","7.01","30","0.37","2.0400","10","27"
"The youth baseball team was ranked first in the __________.","league","0.3600","10.14","18","0.63","2.7900","69","17"
"Charles knew that the woman was out of his __________.","league","0.8200","10.14","18","0.63","1.2700","69","17"
"The angry citizens had formed quite a large __________.","mob","0.5700","8.93","13","0.59","1.9100","10","14"
"The excited crowd of people quickly formed a __________.","mob","0.3500","8.93","13","0.59","2.4300","10","14"
"Amy said the crowd outside had turned into a __________.","mob","0.8900","8.93","13","0.59","0.8300","10","14"
"It was hard to watch the poor animal __________.","suffer","0.8100","9.37","11","0.60","1.1600","33","6"
"Chase had to use special shampoo to remove the __________.","lice","0.3400","5.98","25","0.41","3.2800","2","22"
"Sharing combs with infected people gave Lorie __________.","lice","0.8900","5.98","25","0.41","0.8600","2","22"
"During road construction, workers often use a coat of __________.","tar","0.3700","9.02","20","0.55","2.6000","12","16"
"The ancient vehicle moved forward with a __________.","lurch","0.4100","5.69","9","0.24","4.0500","3","8"
"The novel landed on the floor with a __________.","thud","0.6600","6.14","8","0.24","1.5700","3","7"
"The box landed on the ground with a dull __________.","thud","0.8500","6.14","8","0.24","1.1900","3","7"
"The case landed on the floor with a soft __________.","thud","0.6000","6.14","8","0.24","2.5600","3","7"
"The heavy book hit the floor with a loud __________.","thud","0.7000","6.14","8","0.24","1.5200","3","7"
"Some people don't enjoy food and only eat to __________.","survive","0.3800","9.51","0","0.64","2.6500","33","0"
"After playing all day, the dirty boy needed to __________.","bathe","0.6000","6.51","13","0.36","1.7600","4","9"
"The train arrived at ten o'clock on the __________.","dot","0.8700","8.98","22","0.59","0.8500","13","24"
"Something many men do for their appearance is __________.","shave","0.7000","7.52","17","0.39","2.0700","6","16"
"After growing out his beard, Nate decided to __________.","shave","0.9000","7.52","17","0.39","0.7500","6","16"
"She told the bearded boyfriend that he needed to __________.","shave","0.9200","7.52","17","0.39","0.6200","6","16"
"After a bit of success the stocks took a __________.","dive","0.4700","9.01","14","0.57","2.5600","23","14"
"At swim camp his daughter did her very first __________.","dive","0.5400","9.01","14","0.57","2.1800","23","14"
"The chef's favorite way of cooking eggs was to __________.","scramble","0.3700","7.09","0","0.43","2.1300","2","0"
"That many seeds can take several days to __________.","germinate","0.3200","5.20","1","0.41","2.5600","2","1"
"Diana bought needles in order to learn how to __________.","sew","0.7200","7.18","33","0.31","0.9200","1990","21"
"Judith wanted her grandma to teach her how to __________.","sew","0.4100","7.18","33","0.31","2.2700","1990","21"
"The river swelled after they constructed the __________.","dam","0.8000","8.12","24","0.61","1.2800","39","18"
"The flood was contained by the well built __________.","dam","0.5500","8.12","24","0.61","2.2700","39","18"
"The town was protected from the flood by the __________.","dam","0.4300","8.12","24","0.61","2.5200","39","18"
"The town flooded after a leak in the __________.","dam","0.5600","8.12","24","0.61","2.4500","39","18"
"The flood was disastrous after the breaking of the __________.","dam","0.6800","8.12","24","0.61","1.4200","39","18"
"The Olympic medalist was sad that she came in __________.","second","0.3500","11.92","3","0.70","1.9200","373","0"
"The pen didn't work because it was missing its __________.","ink","0.5700","8.63","2","0.57","2.0200","7","2"
"When drawing, Kayla tried not to smudge the __________.","ink","0.4700","8.63","2","0.57","2.8900","7","2"
"Heather's young kids were only one and __________.","three","0.4700","12.02","9","0.70","1.5600","0","0"
"Many restaurant tables can seat parties of at least __________.","four","0.3400","11.35","32","0.70","2.6600",\N,\N
"It is important for swimmers to learn how to __________.","float","0.3400","8.63","12","0.56","2.7100","3","11"
"The baby was fussy when he started to get __________.","hungry","0.4300","8.75","0","0.56","2.6600",\N,\N
"The cop entered the building and showed his __________.","badge","0.9200","7.62","11","0.57","0.5300","5","12"
"The officer barged in and quickly flashed his __________.","badge","0.8100","7.62","11","0.57","1.1800","5","12"
"The employee always forgot to wear her __________.","badge","0.3300","7.62","11","0.57","3.5800","5","12"
"The skiers were tired, so they relaxed in the __________.","lodge","0.4500","8.18","9","0.61","3.2100","19","8"
"When the family went skiing they stayed at a __________.","lodge","0.4600","8.18","9","0.61","2.0800","19","8"
"The snake had deadly venom stored in its __________.","fangs","0.6500","6.85","8","0.45","1.9000",\N,\N
"To reduce stress, Shannon and her fiancee secretly __________.","eloped","0.3200","3.69","0","0.39","3.8700",\N,\N
"After dating for five years, the happy couple __________.","married","0.7500","10.17","4","0.64","1.3200",\N,\N
"The couple's relationship changed after they were __________.","married","0.8000","10.17","4","0.64","1.2600",\N,\N
"In seven days the princess was to be __________.","married","0.3100","10.17","4","0.64","2.9400",\N,\N
"It surprised everyone when Bob and May __________.","married","0.6600","10.17","4","0.64","1.9800",\N,\N
"They fell deeply in love the first time they __________.","met","0.8600","10.43","28","0.68","0.7900","132","23"
"Every year the couple celebrates the day they first __________.","met","0.8900","10.43","28","0.68","0.7600","132","23"
"Lily had disliked him from the moment they __________.","met","0.9900","10.43","28","0.68","0.0800","132","23"
"From a young age, he liked to keep everything __________.","neat","0.3500","9.38","31","0.46","2.9100","21","23"
"My mother always kept everything very __________.","neat","0.4700","9.38","31","0.46","2.2800","21","23"
"While her roommate liked clutter, Joy kept her space __________.","neat","0.4400","9.38","31","0.46","2.0100","21","23"
"Every fifteen minutes, the clock would __________.","chime","0.5700","6.98","10","0.33","2.5000","1","8"
"At noon, the grandfather clock began to loudly __________.","chime","0.7600","6.98","10","0.33","1.6800","1","8"
"In the morning all the baby birds start to __________.","chirp","0.5700","5.70","8","0.26","1.5200","1","9"
"In the morning, Kathy hoped that the birds wouldn't __________.","chirp","0.3900","5.70","8","0.26","2.6400","1","9"
"In the summer she loved hearing the crickets __________.","chirp","0.9100","5.70","8","0.26","0.6100","1","9"
"Sarah threw the dirty towel in the __________.","hamper","0.3200","6.14","4","0.36","2.6700","5","2"
"In woodshop, Alex smoothed the baseball bat with the __________.","sander","0.3200","6.69","15","0.38","3.1900",\N,\N
"Jamie preferred to use cooking foil made of __________.","aluminum","0.8100","8.76","0","0.58","1.1300","18","1"
"The songs played over and over in a __________.","loop","0.5300","9.70","20","0.62","2.7600","21","16"
"The boy won the chess competition by using his __________.","brain","0.3600","10.90","16","0.64","3.4600","45","16"
"When asked about his parents, Gabe said he loved them __________.","dearly","0.3900","7.09","5","0.37","3.4200",\N,\N
"Jake could not choose because he really wanted __________.","both","0.7100","12.60","14","0.70","2.0500","730","11"
"Martin always dreamed of being a police __________.","officer","0.8700","9.85","0","0.66","0.9800","101","0"
"No one heard Jason arrive due to the broken __________.","doorbell","0.4700","6.27","0","0.30","2.8800",\N,\N
"The tranquil park atmosphere was disturbed by the honking __________.","horn","0.3600","9.12","18","0.62","2.0300","31","11"
"During the earthquake, many of the small buildings __________.","collapsed","0.3900","7.77","0","0.60","2.5100",\N,\N
"Aidan was shocked that the sturdy building __________.","collapsed","0.4600","7.77","0","0.60","2.1100",\N,\N
"The man had already resigned himself to his __________.","fate","0.5000","9.05","31","0.63","3.3900","36","24"
"Gavin believed that he met his wife due to __________.","fate","0.5600","9.05","31","0.63","2.0000","36","24"
"Kelly believed that everything was determined by __________.","fate","0.8300","9.05","31","0.63","1.1100","36","24"
"Alex waited for the jury to decide his __________.","fate","0.8800","9.05","31","0.63","0.7900","36","24"
"Sara and Tom were brought together by __________.","fate","0.4100","9.05","31","0.63","2.6300","36","24"
"The rotten fruit had turned into a soft __________.","mush","0.7000","7.84","16","0.28","2.1300","1","15"
"After Ashley left the bananas out, they turned to __________.","mush","0.7100","7.84","16","0.28","1.7500","1","15"
"The once firm chocolate pudding had turned into __________.","mush","0.4900","7.84","16","0.28","2.4400","1","15"
"David's shirt was such a boring shade of __________.","gray","0.3300","9.45","9","0.65","2.6700","80","8"
"When at the fair her kids always have great __________.","times","0.4500","11.96","19","0.70","2.0400","300","0"
"The amusement park was popular for its unique __________.","rides","0.6900","8.28","16","0.59","2.0500",\N,\N
"The toddler ran to Wendy saying he had gone __________.","potty","0.3500","6.53","15","0.23","3.6100",\N,\N
"Ollie was tired of the radio playing the same __________.","songs","0.8400","10.41","5","0.65","1.0100",\N,\N
"The student discussed his research proposal with his __________.","professor","0.4500","9.81","1","0.64","2.2900","57","0"
"When Ross came home, his puppy's tail would __________.","wag","0.9700","5.86","13","0.29","0.2200","1","12"
"After receiving a treat, the dog's tail began to __________.","wag","0.9800","5.86","13","0.29","0.1600","1","12"
"When Jen showed the treat, Maggie's tail began to __________.","wag","0.9600","5.86","13","0.29","0.3000","1","12"
"When he was fed the dog's tail would always __________.","wag","0.9400","5.86","13","0.29","0.4800","1","12"
"When Baxter saw his treats, his tail always would __________.","wag","0.9900","5.86","13","0.29","0.0800","1","12"
"The little girl loved making art with colored __________.","pencils","0.6900","6.61","1","0.40","1.8500",\N,\N
"Martha went to the craft store to buy colored __________.","pencils","0.3200","6.61","1","0.40","3.0300",\N,\N
"Calvin was intrigued to learn bricks were made from __________.","clay","0.4200","9.29","7","0.63","2.8800","100","7"
"The large pothole in the rode made the driver __________.","swerve","0.5900","5.36","2","0.27","2.7200","4","2"
"Maggie visited the tea shop to learn how to __________.","brew","0.5100","8.00","16","0.46","2.9200","4","11"
"The vanilla sheet cake won't take long to __________.","bake","0.5700","7.84","31","0.37","2.5000","12","26"
"The chef put the cake in the oven to __________.","bake","0.9000","7.84","31","0.37","0.6300","12","26"
"Cookies were the only thing Lauren knew how to __________.","bake","0.7100","7.84","31","0.37","1.3900","12","26"
"At the football game, the cheerleaders were full of __________.","pep","0.3300","6.76","16","0.47","2.6500","1","14"
"Today the cheer squad really needed more __________.","pep","0.4000","6.76","16","0.47","3.0500","1","14"
"The townspeople became wealthy from gold found in the __________.","mine","0.3100","11.40","27","0.64","3.4200","59","24"
"Caleb was disgusted by the sight of the cow's __________.","udder","0.4000","4.89","7","0.22","3.6400",\N,\N
"Sinclair likes skateboarding because it gives him a __________.","rush","0.5000","10.24","14","0.63","2.5100","20","12"
"The mother was against swearing, calling it a __________.","sin","0.8500","9.77","35","0.60","1.1800","53","25"
"According to the Bible, murder is a __________.","sin","0.9600","9.77","35","0.60","0.3200","53","25"
"Steven had been raised believing that lying was a __________.","sin","0.9100","9.77","35","0.60","0.5500","53","25"
"The kind nun believed that drinking was a __________.","sin","0.8800","9.77","35","0.60","0.9500","53","25"
"Ashley righteously declared that stealing was a __________.","sin","0.5100","9.77","35","0.60","1.7100","53","25"
"The bathroom was closed due to a broken __________.","toilet","0.4900","8.62","0","0.56","2.1300","13","0"
"In many sentences, the noun is followed by a __________.","verb","0.9000","7.65","4","0.58","0.7500","4","5"
"The hiker was unaware that he had walked so __________.","far","0.9100","12.08","17","0.69","0.6400","427","14"
"Greg was suddenly hit with the lemonade's sharp __________.","tang","0.3600","7.85","14","0.57","2.6000","4","16"
"Karen put the grilled hamburger on a brioche __________.","bun","0.7400","6.79","35","0.42","1.5000","1","28"
"Miranda usually wore her hair up in a __________.","bun","0.8400","6.79","35","0.42","0.8900","1","28"
"When it's hot, Liz always wears her hair in __________.","bun","0.3800","6.79","35","0.42","3.0900","1","28"
"There was so little knowledge about the rare disease, it was a __________.","mystery","0.6600","9.23","1","0.63","2.7500","39","2"
"She said the cause of the disease was a __________.","virus","0.3800","10.10","0","0.59","3.5500","13","1"
"The doctor thought Karl was sick due to a __________.","virus","0.4200","10.10","0","0.59","2.7100","13","1"
"Debbie was disappointed when her paint began to __________.","peel","0.3200","7.94","40","0.56","2.7600",\N,\N
"Joe traveled freely between the countries because his citizenship was __________.","dual","0.6200","9.50","3","0.63","2.6800","14","11"
"Steph could cross the border because her citizenship was __________.","dual","0.3800","9.50","3","0.63","3.3300","14","11"
"They asked him to turn the volume up a __________.","bit","0.4500","11.98","36","0.65","1.7900","101","30"
"He didn't want a lot just a little __________.","bit","0.6300","11.98","36","0.65","2.4300","101","30"
"If Clara doesn't like those shoes, maybe she'll like __________.","these","0.6500","13.29","18","0.70","2.3600","1573","7"
"The captain steered the ship and narrowly avoided the __________.","iceberg","0.3400","6.95","0","0.40","3.4100",\N,\N
"The hikers were very tired when they reached the __________.","summit","0.5300","8.64","1","0.62","2.2200","12","1"
"The customer hastily bought a car that cost a __________.","fortune","0.4600","9.68","1","0.63","2.5200","25","0"
"Joseph wanted the new computer, but it cost a __________.","fortune","0.6000","9.68","1","0.63","1.6900","25","0"
"Annie's goal was just too difficult to __________.","achieve","0.3200","9.65","0","0.65","3.2200","51","0"
"The museum had a fossil of an ancient __________.","dinosaur","0.6300","7.78","0","0.56","2.6800","1","0"
"The children returned home to face their mother's __________.","wrath","0.6700","8.64","18","0.55","1.8300","9","17"
"The villain said the townspeople should fear his __________.","wrath","0.7100","8.64","18","0.55","2.1100","9","17"
"The guilty children fled to avoid their mother's __________.","wrath","0.5900","8.64","18","0.55","2.4500","9","17"
"After hitting his brother, Justin felt his father's __________.","wrath","0.5000","8.64","18","0.55","2.5800","9","17"
"Daniela tried to avoid facing her mother's __________.","wrath","0.3900","8.64","18","0.55","3.3300","9","17"
"In the end the monster returned to its __________.","lair","0.3700","7.31","30","0.50","2.4100","1","25"
"Only the brave dare venture into the monster's __________.","lair","0.5100","7.31","30","0.50","2.5000","1","25"
"The girl had her hair lengthened by receiving a __________.","weave","0.3400","7.03","14","0.44","3.0600","4","13"
"The pool was expansive and took a while to __________.","fill","0.3300","10.18","33","0.63","2.8500","50","31"
"The boys ran to the car carrying their __________.","bags","0.3400","8.67","11","0.57","3.4800",\N,\N
"They had the food for the trip but needed __________.","drinks","0.3900","8.51","3","0.58","2.9400",\N,\N
"The intense sourness of the fruit made him __________.","pucker","0.3800","5.10","7","0.15","3.1500","1","7"
"Gary was unhappy when his jacket wouldn't __________.","zip","0.4900","9.72","14","0.53","1.6800","1","13"
